"Year: All values"
"Carnegie Classification (standardized): All values"
"Academic Discipline, Detailed (standardized): All values"
"Gender: All values"
"Level of Degree or Other Award: Bachelor's Degrees"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)","Degrees/Awards Conferred-2nd Major (NCES population of institutions) (Sum)"
"1966","Master's/Comprehensive II","Other Science/Technical Education","Female","2","."
"1966","Master's/Comprehensive II","Other Science/Technical Education","Male","31","."
"1966","Master's/Comprehensive II","Non-Science Education","Female","2,422","."
"1966","Master's/Comprehensive II","Non-Science Education","Male","558","."
"1966","Master's/Comprehensive II","Business and Management","Female","158","."
"1966","Master's/Comprehensive II","Business and Management","Male","1,519","."
"1966","Master's/Comprehensive II","Communication and Librarianship","Female","23","."
"1966","Master's/Comprehensive II","Communication and Librarianship","Male","4","."
"1966","Master's/Comprehensive II","Vocational Studies and Home Economics","Female","110","."
"1966","Master's/Comprehensive II","Vocational Studies and Home Economics","Male","1","."
"1966","Master's/Comprehensive II","Other Non-sciences or Unknown Disciplines","Female","17","."
"1966","Master's/Comprehensive II","Other Non-sciences or Unknown Disciplines","Male","15","."
"1966","Engineering and Technology","Chemical Engineering","Female","1","."
"1966","Engineering and Technology","Chemical Engineering","Male","52","."
"1966","Engineering and Technology","Civil Engineering","Male","80","."
"1966","Engineering and Technology","Electrical Engineering","Male","183","."
"1966","Engineering and Technology","Mechanical Engineering","Male","341","."
"1966","Engineering and Technology","Materials Engineering","Female","2","."
"1966","Engineering and Technology","Materials Engineering","Male","65","."
"1966","Engineering and Technology","Industrial Engineering","Male","73","."
"1966","Engineering and Technology","Other Engineering","Male","70","."
"1966","Engineering and Technology","Chemistry","Female","1","."
"1966","Engineering and Technology","Chemistry","Male","30","."
"1966","Engineering and Technology","Physics","Female","1","."
"1966","Engineering and Technology","Physics","Male","34","."
"1966","Engineering and Technology","Other Physical Sciences","Female","2","."
"1966","Engineering and Technology","Other Physical Sciences","Male","3","."
"1966","Engineering and Technology","Earth Sciences","Female","1","."
"1966","Engineering and Technology","Earth Sciences","Male","9","."
"1966","Engineering and Technology","Mathematics and Statistics","Female","2","."
"1966","Engineering and Technology","Mathematics and Statistics","Male","40","."
"1966","Engineering and Technology","Interdisciplinary or Other Sciences","Male","2","."
"1966","Engineering and Technology","Arts and Music","Female","47","."
"1966","Engineering and Technology","Arts and Music","Male","19","."
"1966","Engineering and Technology","Architecture and Environmental Design","Female","1","."
"1966","Engineering and Technology","Architecture and Environmental Design","Male","14","."
"1966","Medical","Medical Sciences","Female","1","."
"1966","Medical","Medical Sciences","Male","13","."
"1966","Medical","Other Life Sciences","Female","100","."
"1966","Medical","Other Life Sciences","Male","3","."
"1966","Medical","Health Technologies","Female","2","."
"1966","Health Professions","Chemistry","Male","3","."
"1966","Health Professions","Biological Sciences","Female","2","."
"1966","Health Professions","Biological Sciences","Male","11","."
"1966","Health Professions","Medical Sciences","Female","47","."
"1966","Health Professions","Medical Sciences","Male","604","."
"1966","Health Professions","Other Life Sciences","Female","7","."
"1966","Health Professions","Other Life Sciences","Male","1","."
"1966","Baccalaureate/Liberal Arts II","Aerospace Engineering","Male","24","."
"1966","Baccalaureate/Liberal Arts II","Chemical Engineering","Male","44","."
"1966","Baccalaureate/Liberal Arts II","Civil Engineering","Female","1","."
"1966","Baccalaureate/Liberal Arts II","Civil Engineering","Male","141","."
"1966","Baccalaureate/Liberal Arts II","Electrical Engineering","Female","1","."
"1966","Baccalaureate/Liberal Arts II","Electrical Engineering","Male","182","."
"1966","Baccalaureate/Liberal Arts II","Mechanical Engineering","Male","193","."
"1966","Baccalaureate/Liberal Arts II","Materials Engineering","Male","7","."
"1966","Baccalaureate/Liberal Arts II","Industrial Engineering","Male","49","."
"1966","Baccalaureate/Liberal Arts II","Other Engineering","Male","26","."
"1966","Baccalaureate/Liberal Arts II","Chemistry","Female","288","."
"1966","Baccalaureate/Liberal Arts II","Chemistry","Male","740","."
"1966","Baccalaureate/Liberal Arts II","Physics","Female","16","."
"1966","Baccalaureate/Liberal Arts II","Physics","Male","194","."
"1966","Baccalaureate/Liberal Arts II","Other Physical Sciences","Female","38","."
"1966","Baccalaureate/Liberal Arts II","Other Physical Sciences","Male","105","."
"1966","Baccalaureate/Liberal Arts II","Earth Sciences","Female","6","."
"1966","Baccalaureate/Liberal Arts II","Earth Sciences","Male","34","."
"1966","Baccalaureate/Liberal Arts II","Mathematics and Statistics","Female","822","."
"1966","Baccalaureate/Liberal Arts II","Mathematics and Statistics","Male","1,364","."
"1966","Baccalaureate/Liberal Arts II","Agricultural Sciences","Female","1","."
"1966","Baccalaureate/Liberal Arts II","Agricultural Sciences","Male","131","."
"1966","Baccalaureate/Liberal Arts II","Biological Sciences","Female","941","."
"1966","Baccalaureate/Liberal Arts II","Biological Sciences","Male","1,572","."
"1966","Baccalaureate/Liberal Arts II","Medical Sciences","Male","3","."
"1966","Baccalaureate/Liberal Arts II","Other Life Sciences","Female","708","."
"1966","Baccalaureate/Liberal Arts II","Other Life Sciences","Male","141","."
"1966","Baccalaureate/Liberal Arts II","Psychology","Female","724","."
"1966","Baccalaureate/Liberal Arts II","Psychology","Male","639","."
"1966","Baccalaureate/Liberal Arts II","Economics","Female","97","."
"1966","Baccalaureate/Liberal Arts II","Economics","Male","633","."
"1966","Baccalaureate/Liberal Arts II","Political Science and Public Administration","Female","161","."
"1966","Baccalaureate/Liberal Arts II","Political Science and Public Administration","Male","408","."
"1966","Baccalaureate/Liberal Arts II","Sociology","Female","1,266","."
"1966","Baccalaureate/Liberal Arts II","Sociology","Male","678","."
"1966","Baccalaureate/Liberal Arts II","Anthropology","Female","2","."
"1966","Baccalaureate/Liberal Arts II","Anthropology","Male","9","."
"1966","Baccalaureate/Liberal Arts II","Area and Ethnic Studies","Female","28","."
"1966","Baccalaureate/Liberal Arts II","Area and Ethnic Studies","Male","28","."
"1966","Baccalaureate/Liberal Arts II","Other Social Sciences","Female","865","."
"1966","Baccalaureate/Liberal Arts II","Other Social Sciences","Male","1,018","."
"1966","Baccalaureate/Liberal Arts II","Engineering Technologies","Male","58","."
"1966","Baccalaureate/Liberal Arts II","Health Technologies","Female","4","."
"1966","Baccalaureate/Liberal Arts II","Health Technologies","Male","3","."
"1966","Baccalaureate/Liberal Arts II","Interdisciplinary or Other Sciences","Female","80","."
"1966","Baccalaureate/Liberal Arts II","Interdisciplinary or Other Sciences","Male","157","."
"1966","Baccalaureate/Liberal Arts II","History","Female","1,194","."
"1966","Baccalaureate/Liberal Arts II","History","Male","1,951","."
"1966","Baccalaureate/Liberal Arts II","English and Literature","Female","3,232","."
"1966","Baccalaureate/Liberal Arts II","English and Literature","Male","1,045","."
"1966","Baccalaureate/Liberal Arts II","Foreign Languages","Female","931","."
"1966","Baccalaureate/Liberal Arts II","Foreign Languages","Male","287","."
"1966","Baccalaureate/Liberal Arts II","Other Humanities","Female","94","."
"1966","Baccalaureate/Liberal Arts II","Other Humanities","Male","619","."
"1966","Baccalaureate/Liberal Arts II","Religion and Theology","Female","25","."
"1966","Baccalaureate/Liberal Arts II","Religion and Theology","Male","96","."
"1966","Baccalaureate/Liberal Arts II","Arts and Music","Female","762","."
"1966","Baccalaureate/Liberal Arts II","Arts and Music","Male","408","."
"1966","Baccalaureate/Liberal Arts II","Architecture and Environmental Design","Male","4","."
"1966","Baccalaureate/Liberal Arts II","Other Science/Technical Education","Female","2","."
"1966","Baccalaureate/Liberal Arts II","Other Science/Technical Education","Male","162","."
"1966","Baccalaureate/Liberal Arts II","Non-Science Education","Female","10,352","."
"1966","Baccalaureate/Liberal Arts II","Non-Science Education","Male","3,684","."
"1966","Baccalaureate/Liberal Arts II","Business and Management","Female","523","."
"1966","Baccalaureate/Liberal Arts II","Business and Management","Male","3,684","."
"1966","Baccalaureate/Liberal Arts II","Communication and Librarianship","Female","69","."
"1966","Baccalaureate/Liberal Arts II","Communication and Librarianship","Male","6","."
"1966","Baccalaureate/Liberal Arts II","Law","Female","2","."
"1966","Baccalaureate/Liberal Arts II","Law","Male","1","."
"1966","Baccalaureate/Liberal Arts II","Social Service Professions","Female","36","."
"1966","Baccalaureate/Liberal Arts II","Social Service Professions","Male","27","."
"1966","Baccalaureate/Liberal Arts II","Vocational Studies and Home Economics","Female","305","."
"1966","Baccalaureate/Liberal Arts II","Vocational Studies and Home Economics","Male","2","."
"1966","Baccalaureate/Liberal Arts II","Other Non-sciences or Unknown Disciplines","Female","66","."
"1966","Baccalaureate/Liberal Arts II","Other Non-sciences or Unknown Disciplines","Male","131","."
"1966","Baccalaureate/Liberal Arts I","Chemical Engineering","Male","25","."
"1966","Baccalaureate/Liberal Arts I","Civil Engineering","Male","127","."
"1966","Baccalaureate/Liberal Arts I","Electrical Engineering","Male","89","."
"1966","Baccalaureate/Liberal Arts I","Mechanical Engineering","Male","72","."
"1966","Baccalaureate/Liberal Arts I","Materials Engineering","Male","19","."
"1966","Baccalaureate/Liberal Arts I","Industrial Engineering","Male","8","."
"1966","Baccalaureate/Liberal Arts I","Other Engineering","Male","14","."
"1966","Baccalaureate/Liberal Arts I","Astronomy","Female","2","."
"1966","Baccalaureate/Liberal Arts I","Astronomy","Male","6","."
"1966","Baccalaureate/Liberal Arts I","Chemistry","Female","256","."
"1966","Baccalaureate/Liberal Arts I","Chemistry","Male","876","."
"1966","Baccalaureate/Liberal Arts I","Physics","Female","37","."
"1966","Baccalaureate/Liberal Arts I","Physics","Male","471","."
"1966","Baccalaureate/Liberal Arts I","Other Physical Sciences","Female","5","."
"1966","Baccalaureate/Liberal Arts I","Other Physical Sciences","Male","38","."
"1966","Baccalaureate/Liberal Arts I","Earth Sciences","Female","27","."
"1966","Baccalaureate/Liberal Arts I","Earth Sciences","Male","131","."
"1966","Baccalaureate/Liberal Arts I","Mathematics and Statistics","Female","571","."
"1966","Baccalaureate/Liberal Arts I","Mathematics and Statistics","Male","901","."
"1966","Baccalaureate/Liberal Arts I","Agricultural Sciences","Male","2","."
"1966","Baccalaureate/Liberal Arts I","Biological Sciences","Female","891","."
"1966","Baccalaureate/Liberal Arts I","Biological Sciences","Male","1,512","."
"1966","Baccalaureate/Liberal Arts I","Other Life Sciences","Female","390","."
"1966","Baccalaureate/Liberal Arts I","Other Life Sciences","Male","445","."
"1966","Baccalaureate/Liberal Arts I","Psychology","Female","868","."
"1966","Baccalaureate/Liberal Arts I","Psychology","Male","1,098","."
"1966","Baccalaureate/Liberal Arts I","Economics","Female","337","."
"1966","Baccalaureate/Liberal Arts I","Economics","Male","1,886","."
"1966","Baccalaureate/Liberal Arts I","Political Science and Public Administration","Female","695","."
